Date    Price (USD/ounce)
2010-01	1119.575
2010-02	1095.800
2010-03	1115.554
2010-04	1148.475
2010-05	1204.321
2010-06	1232.382
2010-07	1196.000
2010-08	1213.464
2010-09	1271.461
2010-10	1343.190
2010-11	1371.784
2010-12	1393.512
2011-01	1360.475
2011-02	1371.313
2011-03	1422.848
2011-04	1474.431
2011-05	1512.188
2011-06	1528.380
2011-07	1568.526
2011-08	1759.500
2011-09	1780.648
2011-10	1667.893
2011-11	1735.977
2011-12	1652.725
2012-01	1656.095
2012-02	1743.095
2012-03	1675.057
2012-04	1648.539
2012-05	1585.114
2012-06	1595.632
2012-07	1592.784
2012-08	1625.682
2012-09	1741.925
2012-10	1746.348
2012-11	1724.352
2012-12	1687.342
2013-01	1671.886
2013-02	1630.688
2013-03	1591.013
2013-04	1485.905
2013-05	1416.143
2013-06	1342.700
2013-07	1284.348
2013-08	1345.048
2013-09	1348.464
2013-10	1314.402
2013-11	1277.417
2013-12	1221.588
2014-01	1243.068
2014-02	1298.713
2014-03	1336.560
2014-04	1299.175
2014-05	1288.913
2014-06	1277.857
2014-07	1312.989
2014-08	1297.005
2014-09	1241.330
2014-10	1223.565
2014-11	1176.413
2014-12	1200.440
2015-01	1249.333
2015-02	1231.100
2015-03	1180.636
2015-04	1198.253
2015-05	1197.684
2015-06	1182.248
2015-07	1131.580
2015-08	1117.525
2015-09	1124.905
2015-10	1157.123
2015-11	1088.388
2015-12	1068.317
2016-01	1095.655
2016-02	1194.893
2016-03	1246.312
2016-04	1241.452
2016-05	1259.755
2016-06	1273.580
2016-07	1337.429
2016-08	1340.861
2016-09	1326.618
2016-10	1268.929
2016-11	1240.293
2016-12	1152.165
2017-01	1192.648
2017-02	1233.390
2017-03	1231.063
2017-04	1267.150
2017-05	1245.250
2017-06	1261.277
2017-07	1235.100
2017-08	1281.720
2017-09	1317.045
2017-10	1280.677
2017-11	1283.189
2017-12	1265.674
2018-01	1332.809
2018-02	1333.775
2018-03	1325.562
2018-04	1335.332
2018-05	1303.618
2018-06	1282.126
2018-07	1238.064
2018-08	1201.859
2018-09	1199.198
2018-10	1214.726
2018-11	1221.275
2018-12	1249.887
2019-01	1291.630
2019-02	1319.755
2019-03	1302.286
2019-04	1287.650
2019-05	1282.460
2019-06	1358.488
2019-07	1414.611
2019-08	1497.102
2019-09	1510.336
2019-10	1494.765
2019-11	1471.921
2019-12	1480.025
2020-01	1560.668
2020-02	1598.818
2020-03	1593.764
2020-04	1680.030
2020-05	1715.697
2020-06	1734.032
2020-07	1840.807
